人民币	人民币 ￥
红发男	红发男 👨‍🦰 👨‍🦱
红发男子	红发男子 👨‍🦰 👨‍🦱
红发男人	红发男人 👨‍🦰 👨‍🦱
卷发	卷发 👨‍🦱 👩‍🦱 🦱
光头	光头 👨‍🦲 👩‍🦲 🦲
光头男	光头男 👨‍🦲
光头男子	光头男子 👨‍🦲
光头男人	光头男人 👨‍🦲
秃顶	秃顶 👨‍🦲 👩‍🦲 🦲
秃头	秃头 👨‍🦲 👩‍🦲 🦲
头秃	头秃 👨‍🦲 👩‍🦲 🦲
脱发	脱发 👨‍🦲 👩‍🦲 🦲
白发	白发 👨‍🦳 👩‍🦳 🦳
白色头发	白色头发 👨‍🦳 👩‍🦳
白发男	白发男 👨‍🦳
白发男子	白发男子 👨‍🦳
白发男人	白发男人 👨‍🦳
女人	女人 👩
成年女人	成年女人 👩
成年女性	成年女性 👩
妈妈	妈妈 👩
母亲	母亲 👩
老妈	老妈 👩
红发女	红发女 👩‍🦰
红发女子	红发女子 👩‍🦰
红发女人	红发女人 👩‍🦰
卷发女	卷发女 👩‍🦱
卷发女子	卷发女子 👩‍🦱
卷发女人	卷发女人 👩‍🦱
光头女	光头女 👩‍🦲
光头女子	光头女子 👩‍🦲
光头女人	光头女人 👩‍🦲
尼姑	尼姑 👩‍🦲
白发女	白发女 👩‍🦳
白发女子	白发女子 👩‍🦳
白发女人	白发女人 👩‍🦳
金发	金发 👱 👱‍♂️ 👱‍♀️
金色头发	金色头发 👱 👱‍♂️ 👱‍♀️
金发女	金发女 👱 👱‍♀️
金发女子	金发女子 👱 👱‍♀️
金发女人	金发女人 👱 👱‍♀️
金发男	金发男 👱‍♂️
金发男子	金发男子 👱‍♂️
金发男人	金发男人 👱‍♂️
老人	老人 👴 👵
老头	老头 👴
老头儿	老头儿 👴
老爷爷	老爷爷 👴
爷爷	爷爷 👴
姥爷	姥爷 👴
外公	外公 👴
祖父	祖父 👴
老太太	老太太 👵
老奶奶	老奶奶 👵
奶奶	奶奶 👵
姥姥	姥姥 👵
外婆	外婆 👵
祖母	祖母 👵
婴儿	婴儿 👶 🚼
宝宝	宝宝 👶 🚼
小宝贝	小宝贝 👶
baby	baby 👶 🚼
有胡须的人	有胡须的人 🧔
有胡子的人	有胡子的人 🧔
络腮胡	络腮胡 🧔
胡子	胡子 🧔
胡须	胡须 🧔
大叔	大叔 🧔
服务员	服务员 💁‍♂️ 💁‍♀️
男服务员	男服务员 💁‍♂️
女服务员	女服务员 💁‍♀️
禁止手势	禁止手势 🙅‍♂️ 🙅‍♀️
不	不 🙅‍♂️ 🙅‍♀️
不行	不行 🙅‍♂️ 🙅‍♀️
反对	反对 🙅‍♂️ 🙅‍♀️
拒绝	拒绝 🙅‍♂️ 🙅‍♀️
不同意	不同意 🙅‍♂️ 🙅‍♀️
不可以	不可以 🙅‍♂️ 🙅‍♀️
同意	同意 🙆‍♂️ 🙆‍♀️
可以	可以 🙆‍♂️ 🙆‍♀️ 🉑
不好意思	不好意思 🙇‍♂️ 🙇‍♀️
对不起	对不起 🙇‍♂️ 🙇‍♀️
道歉	道歉 🙇‍♂️ 🙇‍♀️
鞠躬	鞠躬 🙇‍♂️ 🙇‍♀️
跪求	跪求 🙇‍♂️ 🙇‍♀️
举手	举手 🙋‍♂️ 🙋‍♀️
我知道	我知道 🙋‍♂️ 🙋‍♀️
这个我知道	这个我知道 🙋‍♂️ 🙋‍♀️
皱着眉头	皱着眉头 🙍‍♂️ 🙍‍♀️
皱着眉头的人	皱着眉头的人 🙍‍♂️ 🙍‍♀️
噘嘴的人	噘嘴的人 🙎‍♂️ 🙎‍♀️
捂脸	捂脸 🤦‍♂️ 🤦‍♀️
手掌捂脸	手掌捂脸 🤦‍♂️ 🤦‍♀️
扶额	扶额 🤦‍♂️ 🤦‍♀️
耸肩	耸肩 🤷‍♂️ 🤷‍♀️
不关心	不关心 🤷‍♂️ 🤷‍♀️
不知道	不知道 🤷‍♂️ 🤷‍♀️
谁知道	谁知道 🤷‍♂️ 🤷‍♀️
谁知道呢	谁知道呢 🤷‍♂️ 🤷‍♀️
失聪者	失聪者 🧏‍♂️ 🧏‍♀️
耳聋	耳聋 🧏‍♂️ 🧏‍♀️
聋子	聋子 🧏‍♂️ 🧏‍♀️
医护人员	医护人员 👨‍⚕️ 👩‍⚕️
医生	医生 👨‍⚕️ 👩‍⚕️
男医护人员	男医护人员 👨‍⚕️
男医生	男医生 👨‍⚕️
大夫	大夫 👨‍⚕️ 👩‍⚕️
男大夫	男大夫 👨‍⚕️
女医护人员	女医护人员 👩‍⚕️
女医生	女医生 👩‍⚕️
